annoyance,acrimony,impatience,enmity,rage,fury,antagonism,violence,resentment,animosity,ire,passion,temper,displeasure,irritation,outrage,hatred,exasperation,indignation,annoy,inflame,aggravate,embitter,exasperate,displease,infuriate,excite,irritate,exacerbate,enrage,offend,rile,arouse,antagonize,incense,outrage,provoke,rankle,tiff,irascibility,umbrage,pique,rankling,gall,irritability,choler,distemper,storm,chagrin,petulance,stew,peevishness,huff,tantrum,miff,conniption,soreness,vexation,disapprobation,dander,infuriation,bait,agitate,goad,umbrage,pique,seethe,gall,craze,madden,vex,bristle,cross,boil,ruffle,acerbate,burn,stew,tempt,fret,chafe,affront,miff,rant,nettle,rave,mad
fuming,bellicose,,carping,animated,mad,strict,grumpy,fiery,frenetic,,caustic,,acrimonious,rile,maltreat,,faultfinding,,ravenous,brutal,spirited,bitter,white,hurt,grouchy,fuming,festering,,choleric,,fuming,burning,frowning,irritated,chaotic,ireful,incensed,anger,estrange,peel,,exasperate,boil,irritate,inflame,insult,whet,gall,impassioned,aggress,rile
aggravated,catty,,choleric,blazing,provoked,tense,bad-tempered,fierce,raging,,fierce,,boiling,irk,injure,,annoyed,,relentless,intense,violent,abominable,sultry,insulted,moody,buffaloed,festered,,cross,,blustering,sensitive,gloomy,bitter,rowdy,storming,infuriated,abuse,,inflame,,envenom,,frazzle,unbalance,disgust,offend,provoke,irate,thunder,irk
livid,chill,,complaining,burning,wrathful,troubled,cheerless,passionate,vehement,,biting,,disgruntled,irritate,jar,,vexed,,merciless,angry,heated,accursed,red,irritable,nasty,bugged,chafed,,fractious,,angry,raw,glum,annoyed,quarrelsome,,insane,confront,,scratch,,excite,,chafe,irritate,annoy,kindle,aggravate,uptight,scold,torment
mad,cold,,cross,deep,fuming,withdrawn,crabby,bitter,violent,,intense,,displeased,gall,madden,,caviling,,brutish,fiery,fierce,awful,sharp,miffed,quick-tempered,hacked,scalded,,hasty,,blustery,annoying,gruff,indignant,lawless,,irate,outrage,,excoriate,,madden,,aggravate,derange,ruffle,stimulate,acerbate,sullen,charge,agitate
,competitive,,crotchety,fervid,piqued,worried,cross,intense,agitated,,savage,,huffy,rankle,ravage,,bridge,,barbarous,cutthroat,intense,catty,spicy,moody,sharp,furious,blistered,,hot-tempered,,frenzied,smarting,grumpy,exasperated,raucous,,irrational,meet,,damage,,vex,,ruffle,anger,exasperate,galvanize,nettle,heated,strike,gall
,contentious,,disputatious,flaming,riled,,cynical,boiling,fierce,,harsh,,peeved,aggravate,desecrate,,overpass,,bloodthirsty,furious,ablaze,confounded,fierce,offended,snappy,huffy,angry,,huffy,,irate,extreme,irritable,outraged,violent,,livid,provoke,,scrape,,enrage,,chide,vex,get,move,pique,furious,sizzle,embarrass
,contrary,,dissatisfied,furious,steamed,,dismal,hot,intense,,cruel,,provoked,pique,persecute,,voyage,,fell,strong,afire,cursed,intense,peeved,sour,ireful,bloodshot,,irritable,,rabid,sensitive,morose,uproarious,unruly,,maniac,encounter,,hurt,,,,rub,provoke,roil,sting,grate,irritated,spit,afflict
,dour,,dyspeptic,glowing,wroth,,dull,fiery,intensified,,bad,,upset,needle,spoil,,zigzag,,feral,terrible,alight,damnable,stormy,peevish,spiteful,mad,raw,,ogre,,tempestuous,pressing,obstinate,vociferous,fierce,,rabid,dispraise,,impair,,,,bother,bother,stew,mortify,bug,bitter,stomp,pique
,embittered,,fiery,inflamed,,,fretful,raging,bent,,stinging,,wrathful,get,mistreat,,meet,,grim,relentless,choleric,damned,popular,petulant,surly,uptight,red,,peevish,,wild,upset,ornery,rambunctious,rough,,rage,,,grate,,,,burn,craze,fret,quicken,,annoyed,rain,hassle
,hard,,fretful,inspired,,,frowning,excited,boiling,,brutal,,bugged,madden,misuse,,ford,,implacable,murderous,enthusiastic,detestable,fresh,provoked,touchy,wrathful,septic,,petulant,,,smarting,withdrawn,rowdy,bitter,,raging,,,graze,,,,scrape,possess,chafe,motivate,,indignant,squall,anger
,inhospitable,,gloomy,melodramatic,,,gruff,burnt,crazed,,severe,,exasperated,exacerbate,deflower,,crosscut,,inhuman,animal,febrile,evil,trendy,querulous,vicious,rousted,,,querulous,,,annoying,ill-humored,rollicking,agitated,,unreasonable,,,abrade,,,,inflame,frenzy,huff,wound,,exasperated,assail,molest
,inimical,,grouchy,moving,,,heavy,sizzling,demented,,poignant,,fuming,nettle,oppress,,bisect,,lupine,ape,fervid,execrable,cool,short,bearish,,,,quick-tempered,,,afflicted,moping,raucous,blustery,,vehement,,,skin,,,,harass,ire,disturb,goad,,outraged,complain,provoke
,malevolent,,grumbling,mushy,,,inert,broiling,infuriated,,unpleasant,,piqued,inflame,rape,,intertwine,,pitiless,awful,feverish,forbidding,broiling,snappish,,,,,short-tempered,,,burned,pouting,unruly,boiling,,vicious,,,gall,,,,plague,umbrage,miff,vex,,brusque,fly,worry
,malicious,,hasty,powerful,,,irritable,fired,insane,,disturbing,,riled,roil,violate,,decussate,,predatory,barbarous,flickering,foul,burning,snappy,,,,,snappish,,,critical,pouty,clamorous,coarse,,violent,,,erode,,,,roil,,tease,stir,,cranky,rage,depress
,malignant,,hot,profound,,,malevolent,burning,irrational,,sharp,,p.o.'d,anger,,,lace,,rapacious,bloodthirsty,flushed,gross,close,sulky,,,,,thin-skinned,,,distressing,sourpussed,loud,confused,,wrathful,,,bark,,,,harry,,peeve,prick,,sarcastic,drop,aggravate
,militant,,huffy,red-hot,,,malicious,scalding,maniac,,intense,,,rouse,,,mingle,,truculent,blustery,hot-tempered,infamous,febrile,sullen,,,,,touchy,,,hurtful,sulking,strident,destructive,,corybantic,,,corrode,,,,grate,,incense,exasperate,,gruff,pour,pester
,nasty,,hypercritical,romantic,,,malign,scorching,rabid,,astringent,,,bug,,,blend,,unmerciful,boisterous,impetuous,invidious,feverish,surly,,,,,crabbed,,,irritated,,riotous,disordered,,fuming,,,wear,,,,trouble,,harass,get,,prickly,bluster,abrade
,opposed,,irascible,starry-eyed,,,mean,parched,unreasonable,,acid,,,T-off,,,interbreed,,unrestrained,cruel,impulsive,loathsome,fiery,testy,,,,,ireful,,,pained,,fractious,disturbed,,hacked,,,inflame,,,,provoke,,,absorb,,irascible,howl,rasp
