Present ,Preterite ,Present continuous ,Present perfect ,Future ,Future perfect ,Past continuous ,Past perfect ,Future continuous ,Present perfect continuous ,Past perfect continuous ,Future perfect continuous 
 suppose , supposed , are supposing , have supposed , will suppose , will have supposed , were supposing , had supposed , will be supposing , have been supposing , had been supposing , will have been supposing 
 swing , swung , are swinging , have swung , will swing , will have swung , were swinging , had swung , will be swinging , have been swinging , had been swinging , will have been swinging 
 take , took , are taking , have taken , will take , will have taken , were taking , had taken , will be taking , have been taking , had been taking , will have been taking 
 tell , told , are telling , have told , will tell , will have told , were telling , had told , will be telling , have been telling , had been telling , will have been telling 
 think , thought , are thinking , have thought , will think , will have thought , were thinking , had thought , will be thinking , have been thinking , had been thinking , will have been thinking 
 throw , threw , are throwing , have thrown , will throw , will have thrown , were throwing , had thrown , will be throwing , have been throwing , had been throwing , will have been throwing 
 tickle , tickled , are tickling , have tickled , will tickle , will have tickled , were tickling , had tickled , will be tickling , have been tickling , had been tickling , will have been tickling 
 wake , woke, are waking , have woken/waked , will wake , will have woken/waked , were waking , had woken/waked , will be waking , have been waking , had been waking , will have been waking 
 walk , walked , are walking , have walked , will walk , will have walked , were walking , had walked , will be walking , have been walking , had been walking , will have been walking 
 want , wanted , are wanting , have wanted , will want , will have wanted , were wanting , had wanted , will be wanting , have been wanting , had been wanting , will have been wanting 
 wash , washed , are washing , have washed , will wash , will have washed , were washing , had washed , will be washing , have been washing , had been washing , will have been washing 
 watch , watched , are watching , have watched , will watch , will have watched , were watching , had watched , will be watching , have been watching , had been watching , will have been watching 
 work , worked , are working , have worked , will work , will have worked , were working , had worked , will be working , have been working , had been working , will have been working 
turn,turned,are turning,have turned,will turn,will have turned,were turning,had turned,will be turning,have been turning,had been turning,will have been turning
 find , found , are finding , have found , will find , will have found , were finding , had found , will be finding , have been finding , had been finding , will have been finding 
